salary,age,city_type,risk_appetite,years_to_retirement,basic_salary,hra_received,special_allowance,bonus,employer_pf,is_rented,rent_paid,existing_80C,existing_80D,existing_NPS,existing_80G,has_home_loan,home_loan_interest,has_education_loan,education_loan_interest,parent_senior,has_girl_child,gap_80C,gap_80D,gap_NPS,suggest_80C_topup,suggest_80D,suggest_NPS,best_80C_instrument,recommended_regime
2519110,50,0,3,10,919465,381405,302406,43187,21600,1,69228,59735,23333,2433,5311,1,135305,0,0,0,0,90265,1667,47567,1,1,1,NSC,0
1607371,46,0,2,14,650911,269488,280037,38513,21600,1,438612,116216,11394,3556,3890,0,0,0,0,0,0,33784,13606,46444,1,1,1,PPF,1
2746609,25,1,2,35,1056439,380588,444927,201050,21600,1,234492,35920,1585,3943,23939,0,0,0,0,0,0,114080,23415,46057,1,1,1,ELSS,0
1663715,50,1,3,10,731510,388043,150764,39127,21600,0,0,55591,23247,24300,8529,0,0,0,0,1,1,94409,51753,25700,1,1,1,SSY,0
2067640,50,1,1,10,785304,236675,367740,175383,21600,1,211992,38660,3561,26854,38952,1,58392,0,0,1,0,111340,71439,23146,1,1,1,NSC,0
3235840,44,1,2,16,1404958,555986,636183,329633,21600,1,459240,137982,12685,25446,206,0,0,0,0,0,0,12018,12315,24554,1,1,1,PPF,1
2316716,53,1,1,7,897481,361322,395384,63607,21600,0,0,75450,19541,22299,43585,0,0,0,0,0,1,74550,5459,27701,1,1,1,SSY,1
409556,27,1,1,33,163270,53964,50275,44567,19592,0,0,137848,22248,9474,40294,0,0,0,0,0,1,12152,2752,40526,1,1,1,SSY,1
2254109,58,1,1,2,862905,379268,289563,17552,21600,0,0,52733,11649,23938,23664,0,0,1,36736,0,0,97267,13351,26062,1,1,1,NSC,0
525281,23,1,1,37,237482,102766,70247,34850,21600,1,455640,109751,20602,12688,25342,1,156308,0,0,0,0,40249,4398,37312,1,1,1,PPF,0
3380389,43,1,1,17,1277711,396338,510124,274851,21600,0,0,34754,11411,2911,1734,0,0,0,0,1,0,115246,63589,47089,1,1,1,PPF,0
371295,39,1,2,21,160108,75882,39886,7795,19212,1,256452,111472,2049,31616,38191,1,70932,1,71434,0,0,38528,22951,18384,1,1,1,ELSS,0
1290198,30,0,2,30,529853,276552,234959,144858,21600,1,90684,38360,2200,46940,2961,0,0,0,0,1,1,111640,72800,3060,1,1,1,SSY,0
2400021,56,1,1,4,957152,465772,379097,244578,21600,1,114660,107450,8050,45525,19830,0,0,0,0,0,0,42550,16950,4475,1,1,1,NSC,1
1920197,29,1,3,31,813928,283906,320085,64696,21600,0,0,109616,7679,8208,18589,1,86212,1,42635,0,0,40384,17321,41792,1,1,1,ELSS,0
2809079,50,1,3,10,1107247,438773,511635,106831,21600,0,0,103746,51885,36631,45681,0,0,1,45777,1,1,46254,23115,13369,1,1,1,SSY,0
1405534,48,0,1,12,641396,281062,162453,70801,21600,0,0,10647,8716,23355,22009,0,0,0,0,1,0,139353,66284,26645,1,1,1,FD,0
2661664,29,1,3,31,1081533,349871,397635,11479,21600,1,332124,55609,56661,31024,42675,0,0,0,0,1,0,94391,18339,18976,1,1,1,ELSS,0
761243,58,1,3,2,276180,86422,109438,49386,21600,1,155844,94476,4465,17019,46185,0,0,0,0,0,0,55524,20535,32981,1,1,1,NSC,1
1693470,40,1,1,20,805070,381597,218583,35216,21600,0,0,138877,5237,49711,20056,0,0,0,0,0,1,11123,19763,289,1,1,1,SSY,1
706716,26,1,2,34,327687,99485,66380,3901,21600,0,0,78781,11151,43225,35247,1,106573,0,0,0,0,71219,13849,6775,1,1,1,ELSS,0
588790,31,1,3,29,288516,122694,85212,48325,21600,1,523752,94704,16347,25471,22687,1,199143,0,0,0,0,55296,8653,24529,1,1,1,ELSS,0
836226,54,1,2,6,413244,217505,86545,6960,21600,0,0,143233,27350,27472,28761,0,0,0,0,1,0,6767,47650,22528,1,1,1,NSC,1
365953,28,0,2,32,168433,84363,41661,7792,20211,1,270072,85999,17955,37841,5104,1,188429,0,0,0,1,64001,7045,12159,1,1,1,SSY,0
